순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
78위,트릴리온,워싱 스티치 데님자켓 (BLACK),https://www.musinsa.com/app/goods/1790383?loc=goods_rank,TRSJK01,남 여,4.1만 회 이상,8.4천 개 이상,"30,426"
79위,와이케이,라인 집업 가디건 차콜,https://www.musinsa.com/app/goods/2405371?loc=goods_rank,YK22SSKN01,남,1.8천 회 이상,50개 미만,441
80위,엠엔지유,스탠다드 3버튼 재킷 IN 블랙,https://www.musinsa.com/app/goods/2066129?loc=goods_rank,P00000NK,남 여,900회 이상,100개 이상,369
81위,예일,EMBROIDERY HANDSOME DAN HOODIE ZIP UP BLACK,https://www.musinsa.com/app/goods/2066200?loc=goods_rank,YA2HD0011BK,남 여,4.1천 회 이상,2.9천 개 이상,"5,582"
82위,어커버,메탈 레글런 윈드브레이커 그린,https://www.musinsa.com/app/goods/2335648?loc=goods_rank,ACJK21214,남,1.6천 회 이상,50개 이상,212
83위,니티드,소프트코튼 브이넥 와플 베스트 STONE BLUE,https://www.musinsa.com/app/goods/1740805?loc=goods_rank,1375295,남 여,1.2천 회 이상,400개 이상,"1,247"
84위,큐리티,C METALLIC CROCHET KNIT BOLERO_BLACK,https://www.musinsa.com/app/goods/2510631?loc=goods_rank,CU222KT001BK,여,500회 이상,,78
85위,브렌슨,Essential 오버핏 2Way 후드집업 트레이닝 셋업,https://www.musinsa.com/app/goods/2385875?loc=goods_rank,BR558,남,1만 회 이상,2.2천 개 이상,"2,867"
86위,닉앤니콜,CREW NECK VEST_BLACK,https://www.musinsa.com/app/goods/2352328?loc=goods_rank,S,여,9.6천 회 이상,800개 이상,"4,355"
87위,우알롱,Signature hood zip-up - BLACK,https://www.musinsa.com/app/goods/2287431?loc=goods_rank,hj_21ss_001bk,남 여,1만 회 이상,2.6천 개 이상,"5,792"
88위,니티드,펀칭 니트 베스트 GREEN,https://www.musinsa.com/app/goods/2363718?loc=goods_rank,1425041,남 여,8.4천 회 이상,200개 이상,909
89위,커버낫,빅 로고 트랙 자켓 라이트 그레이,https://www.musinsa.com/app/goods/2307083?loc=goods_rank,CO2201JK08LG,남,9.8천 회 이상,600개 이상,"1,742"
90위,코드그라피,YKK 2-WAY 테크 숏 자켓_차콜,https://www.musinsa.com/app/goods/2284226?loc=goods_rank,CBBS1JP010CH,남 여,5만 회 이상,1.3천 개 이상,"6,935"
